label,d_value,observable,size_a,size_b,tc_crossing,binder_crossing,method
dm2p0,-2.0,Mxy,16,32,,,no_crossing
dm2p0,-2.0,Mxy,32,64,,,no_crossing
dm2p0,-2.0,Mxy,64,96,0.671294611191033,0.6666665024787164,linear_interp
dm2p0,-2.0,Mxy,96,128,0.5711416437021957,0.6666667023191176,linear_interp
dm1p0,-1.0,Mxy,16,32,,,no_crossing
dm1p0,-1.0,Mxy,32,64,,,no_crossing
dm1p0,-1.0,Mxy,64,96,,,no_crossing
dm1p0,-1.0,Mxy,96,128,1.059112619698001,0.6666657765307185,linear_interp
dm0p5,-0.5,Mxy,16,32,,,no_crossing
dm0p5,-0.5,Mxy,32,64,,,no_crossing
dm0p5,-0.5,Mxy,64,96,,,no_crossing
dm0p5,-0.5,Mxy,96,128,1.0385021975435986,0.6666655009684522,linear_interp
d0,0.0,M,16,32,1.4401007343869074,0.6247003245415752,linear_interp
d0,0.0,M,32,64,1.4456823847141778,0.5983112763741936,linear_interp
d0,0.0,M,64,96,1.4369293801254603,0.6523902055957834,linear_interp
d0,0.0,M,96,128,1.483333,1.0,exact_grid
d0,0.0,M,128,192,,,no_crossing
dp0p5,0.5,Mz,16,32,,,no_crossing
dp0p5,0.5,Mz,32,64,,,no_crossing
dp0p5,0.5,Mz,64,96,0.9192124749037603,0.6666662436839158,linear_interp
dp0p5,0.5,Mz,96,128,0.908582025073543,0.6666668225598354,linear_interp
dp1p0,1.0,Mz,16,32,,,no_crossing
dp1p0,1.0,Mz,32,64,,,no_crossing
dp1p0,1.0,Mz,64,96,0.9510467724023659,0.6666667274451302,linear_interp
dp1p0,1.0,Mz,96,128,0.980710369687768,0.6666668470864408,linear_interp
dp2p0,2.0,Mz,16,32,,,no_crossing
dp2p0,2.0,Mz,32,64,0.851456283148001,0.6666660298765529,linear_interp
dp2p0,2.0,Mz,64,96,0.8066935267183502,0.6666666109011955,linear_interp
dp2p0,2.0,Mz,96,128,0.816,0.6666661185169409,exact_grid
