T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err,Mz,Mz_err,Mz2,Mz2_err,Mz4,Mz4_err,chi_z,chi_z_err,Mxy,Mxy_err,Mxy2,Mxy2_err,Mxy4,Mxy4_err,chi_xy,chi_xy_err
0.8000,-3.668629,0.012260,0.162138,0.015535,0.030895,0.005066,0.001445,0.000352,19.342465,3.397332,23.586025,4.036674,0.161337,0.015641,0.030699,0.005074,0.001434,0.000350,23.905609,4.079649,0.012445,0.000581,0.000197,0.000017,0.000000,0.000000,0.213399,0.021224
0.8917,-3.675791,0.005413,0.445996,0.016563,0.204151,0.015418,0.046219,0.007109,4.057886,0.910404,24.064779,6.237820,0.445664,0.016561,0.203854,0.015405,0.046090,0.007093,24.060357,6.231245,0.015494,0.001026,0.000297,0.000036,0.000000,0.000000,0.260971,0.037465
0.9833,-3.899524,0.005413,0.867451,0.002076,0.752564,0.003528,0.566622,0.005099,3.495108,1.932492,0.388313,0.331705,0.867379,0.002078,0.752440,0.003531,0.566435,0.005101,0.388720,0.332058,0.010021,0.000360,0.000124,0.000009,0.000000,0.000000,0.099968,0.008894
1.0750,-3.781173,0.001722,0.852691,0.000256,0.727091,0.000436,0.528687,0.000635,1.473691,0.126862,0.033625,0.003368,0.852590,0.000256,0.726918,0.000436,0.528436,0.000635,0.033863,0.003413,0.011710,0.000640,0.000172,0.000017,0.000000,0.000000,0.133919,0.009671
1.1667,-3.650114,0.002870,0.833857,0.000461,0.695332,0.000769,0.483528,0.001069,1.808705,0.178647,0.051508,0.005417,0.833759,0.000459,0.695169,0.000765,0.483300,0.001063,0.051423,0.005427,0.011412,0.000545,0.000164,0.000015,0.000000,0.000000,0.117339,0.014516
1.2583,-3.502108,0.002407,0.811294,0.000428,0.658212,0.000693,0.433279,0.000909,1.395162,0.172487,0.043935,0.006800,0.811182,0.000431,0.658030,0.000697,0.433039,0.000914,0.043817,0.006792,0.012013,0.000482,0.000182,0.000013,0.000000,0.000000,0.121766,0.008124
1.3500,-3.355134,0.003392,0.787418,0.000648,0.620051,0.001020,0.384521,0.001262,1.775074,0.172144,0.070955,0.007834,0.787296,0.000649,0.619858,0.001022,0.384282,0.001264,0.071311,0.007912,0.012474,0.000617,0.000193,0.000019,0.000000,0.000000,0.114417,0.014310
1.4417,-3.186099,0.004461,0.758576,0.000924,0.575471,0.001402,0.331244,0.001616,1.822409,0.276304,0.094727,0.015580,0.758399,0.000921,0.575202,0.001398,0.330933,0.001610,0.094145,0.015352,0.014594,0.000895,0.000269,0.000030,0.000000,0.000000,0.159245,0.015401
1.5333,-3.003711,0.005126,0.724383,0.001096,0.524785,0.001589,0.275513,0.001672,2.347032,0.324993,0.144059,0.022974,0.724205,0.001096,0.524527,0.001589,0.275241,0.001671,0.143089,0.022823,0.014004,0.000714,0.000258,0.000028,0.000000,0.000000,0.166475,0.029556
1.6250,-2.802592,0.005495,0.682572,0.001370,0.465982,0.001867,0.217282,0.001735,2.391376,0.329157,0.193138,0.031332,0.682385,0.001361,0.465726,0.001854,0.217042,0.001723,0.192062,0.031309,0.014022,0.000744,0.000256,0.000027,0.000000,0.000000,0.149131,0.021211
1.7167,-2.584602,0.005737,0.633079,0.001609,0.400883,0.002033,0.160855,0.001624,2.133828,0.219632,0.221733,0.031831,0.632837,0.001607,0.400576,0.002030,0.160609,0.001620,0.222085,0.031475,0.016011,0.000807,0.000307,0.000028,0.000000,0.000000,0.120986,0.010605
1.8083,-2.339331,0.006836,0.567031,0.002293,0.321671,0.002594,0.103662,0.001663,1.922792,0.304624,0.334240,0.062641,0.566659,0.002291,0.321249,0.002591,0.103389,0.001659,0.333174,0.063057,0.018349,0.001171,0.000422,0.000051,0.000000,0.000000,0.193497,0.026651
1.9000,-1.988404,0.007282,0.428513,0.003752,0.183964,0.003197,0.034090,0.001167,1.927283,0.388743,0.733429,0.165416,0.428046,0.003773,0.183568,0.003211,0.033946,0.001170,0.742341,0.165540,0.017330,0.001361,0.000396,0.000060,0.000000,0.000000,0.206808,0.035570
1.9917,-1.656537,0.008265,0.218330,0.007554,0.048847,0.003341,0.002617,0.000349,1.872224,0.389119,2.425056,0.565713,0.217545,0.007619,0.048524,0.003358,0.002588,0.000349,2.463349,0.574632,0.015830,0.001007,0.000324,0.000039,0.000000,0.000000,0.149968,0.017003
2.0833,-1.500283,0.005038,0.047959,0.004658,0.002793,0.000513,0.000014,0.000005,0.815853,0.125195,0.968808,0.234441,0.040889,0.005084,0.002257,0.000486,0.000011,0.000004,1.151125,0.257829,0.020720,0.001183,0.000535,0.000053,0.000001,0.000000,0.208644,0.021281
2.1750,-1.429865,0.004300,0.058731,0.003195,0.003754,0.000391,0.000018,0.000004,0.700415,0.115735,0.574410,0.120885,0.053652,0.003613,0.003246,0.000409,0.000015,0.000004,0.691630,0.139873,0.020248,0.001495,0.000509,0.000069,0.000000,0.000000,0.185585,0.021893
2.2667,-1.379042,0.004049,0.037346,0.004062,0.001801,0.000364,0.000007,0.000002,0.534012,0.075358,0.735049,0.158384,0.030568,0.004664,0.001441,0.000364,0.000005,0.000002,0.916280,0.204763,0.016686,0.001121,0.000360,0.000047,0.000000,0.000000,0.147528,0.021761
2.3583,-1.331643,0.003457,0.033878,0.002775,0.001372,0.000200,0.000003,0.000001,0.425549,0.097535,0.389320,0.062151,0.025880,0.003292,0.000966,0.000186,0.000002,0.000001,0.514899,0.068537,0.017659,0.001304,0.000406,0.000061,0.000000,0.000000,0.162966,0.031392
2.4500,-1.302343,0.002725,0.031404,0.002133,0.001143,0.000158,0.000002,0.000001,0.334028,0.036590,0.261303,0.055948,0.023202,0.002482,0.000737,0.000143,0.000001,0.000000,0.332343,0.063552,0.018115,0.000989,0.000405,0.000041,0.000000,0.000000,0.129123,0.013760
2.5417,-1.269127,0.002704,0.025955,0.001805,0.000803,0.000103,0.000001,0.000000,0.285216,0.031713,0.208239,0.026406,0.017154,0.001887,0.000434,0.000083,0.000000,0.000000,0.226027,0.038009,0.017117,0.001108,0.000368,0.000046,0.000000,0.000000,0.121475,0.017234
2.6333,-1.243769,0.003171,0.026228,0.001951,0.000835,0.000131,0.000001,0.000000,0.294064,0.040487,0.229544,0.055319,0.016831,0.002514,0.000483,0.000134,0.000001,0.000000,0.310247,0.087850,0.017127,0.000910,0.000353,0.000033,0.000000,0.000000,0.092346,0.008782
2.7250,-1.217180,0.002289,0.025542,0.001613,0.000768,0.000109,0.000001,0.000000,0.222142,0.023495,0.173970,0.047974,0.017642,0.002288,0.000478,0.000123,0.000001,0.000000,0.251421,0.077258,0.015168,0.000816,0.000290,0.000030,0.000000,0.000000,0.089568,0.012358
2.8167,-1.196578,0.002275,0.026551,0.002526,0.000912,0.000184,0.000002,0.000001,0.206518,0.024516,0.300806,0.092478,0.018302,0.002810,0.000578,0.000176,0.000001,0.000001,0.352895,0.125145,0.016369,0.000875,0.000334,0.000033,0.000000,0.000000,0.096275,0.009826
2.9083,-1.173263,0.001847,0.021642,0.001317,0.000558,0.000062,0.000001,0.000000,0.199636,0.017944,0.126743,0.013875,0.013133,0.001526,0.000268,0.000054,0.000000,0.000000,0.134412,0.023598,0.014949,0.000960,0.000290,0.000033,0.000000,0.000000,0.094365,0.009543
3.0000,-1.161350,0.002444,0.021380,0.001087,0.000532,0.000052,0.000000,0.000000,0.224267,0.022691,0.101974,0.013205,0.012614,0.001234,0.000238,0.000042,0.000000,0.000000,0.108016,0.017775,0.015154,0.000777,0.000294,0.000026,0.000000,0.000000,0.087311,0.007052
