T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err
2.100000,-1.237845,0.000327,0.423968,0.000219,0.179790,0.000186,0.032354,0.000067,2.714534,0.129569,5.186303,0.142376
2.110526,-1.216065,0.000284,0.409444,0.000195,0.167691,0.000160,0.028152,0.000054,2.663653,0.101742,5.820324,0.118105
2.121053,-1.194747,0.000385,0.394484,0.000252,0.155671,0.000199,0.024267,0.000062,2.890218,0.188865,6.645898,0.204057
2.131579,-1.170925,0.000370,0.376758,0.000297,0.142010,0.000223,0.020203,0.000063,2.973029,0.185343,7.791453,0.289760
2.142105,-1.147258,0.000397,0.357901,0.000350,0.128165,0.000251,0.016462,0.000065,2.757493,0.156296,8.712338,0.241050
2.152632,-1.122973,0.000458,0.336406,0.000426,0.113260,0.000287,0.012869,0.000065,3.041965,0.178496,11.100993,0.366324
2.163158,-1.097856,0.000396,0.311994,0.000410,0.097452,0.000256,0.009540,0.000050,2.913882,0.187327,13.574906,0.535345
2.173684,-1.071746,0.000436,0.282904,0.000556,0.080193,0.000314,0.006481,0.000051,3.144243,0.170686,19.112222,0.655513
2.184211,-1.043628,0.000532,0.244794,0.000783,0.060181,0.000382,0.003682,0.000046,3.220336,0.175177,30.787244,1.119699
2.194737,-1.013334,0.000559,0.189446,0.001488,0.036578,0.000534,0.001427,0.000037,3.699407,0.196567,82.264464,6.130760
2.205263,-0.982431,0.000409,0.097609,0.001923,0.010890,0.000371,0.000170,0.000009,2.496640,0.127218,161.967934,5.856447
2.215789,-0.962061,0.000291,0.049724,0.000755,0.003081,0.000091,0.000017,0.000001,1.642429,0.067730,72.042639,2.714480
2.226316,-0.946887,0.000281,0.034316,0.000377,0.001483,0.000031,0.000004,0.000000,1.424548,0.074941,35.977975,0.888457
2.236842,-0.933252,0.000224,0.027325,0.000266,0.000946,0.000018,0.000002,0.000000,1.210962,0.052879,23.392448,0.563672
2.247368,-0.921293,0.000190,0.023092,0.000115,0.000677,0.000007,0.000001,0.000000,1.047379,0.036768,16.809717,0.364657
2.257895,-0.909423,0.000144,0.020038,0.000160,0.000510,0.000008,0.000001,0.000000,1.068539,0.042795,12.557832,0.245028
2.268421,-0.898643,0.000205,0.017823,0.000123,0.000405,0.000005,0.000000,0.000000,0.981539,0.038380,10.104346,0.148998
2.278947,-0.888759,0.000123,0.016549,0.000156,0.000347,0.000006,0.000000,0.000000,0.888346,0.027262,8.442233,0.147776
2.289474,-0.878809,0.000172,0.015185,0.000098,0.000293,0.000004,0.000000,0.000000,0.948150,0.029975,7.157142,0.087757
2.300000,-0.869482,0.000183,0.014001,0.000075,0.000250,0.000002,0.000000,0.000000,0.866174,0.036640,6.177105,0.059773
