t,rho
0,0.35483333
100,0.04766667
200,0.02016667
300,0.01516667
400,0.02183333
500,0.01958333
600,0.01933333
700,0.01591667
800,0.01825000
900,0.01733333
1000,0.02183333
1100,0.01750000
1200,0.02150000
1300,0.01766667
1400,0.01750000
1500,0.01866667
1600,0.01841667
1700,0.01958333
1800,0.02283333
1900,0.02041667
2000,0.02658333
2100,0.01916667
2200,0.02041667
2300,0.01866667
2400,0.01658333
2500,0.02300000
2600,0.01733333
2700,0.02041667
2800,0.01916667
2900,0.02225000
3000,0.01616667
3100,0.02150000
3200,0.01666667
3300,0.02308333
3400,0.01816667
3500,0.01741667
3600,0.02183333
3700,0.01883333
3800,0.01758333
3900,0.01866667
4000,0.01808333
4100,0.02566667
4200,0.01875000
4300,0.02241667
4400,0.02308333
4500,0.01966667
4600,0.01800000
4700,0.01725000
4800,0.02025000
4900,0.01691667
5000,0.02041667
5100,0.02041667
5200,0.01908333
5300,0.02283333
5400,0.02116667
5500,0.01750000
5600,0.02141667
5700,0.01858333
5800,0.01741667
5900,0.01841667
6000,0.01616667
6100,0.01766667
6200,0.02025000
6300,0.02008333
6400,0.02025000
6500,0.01816667
6600,0.02283333
6700,0.01641667
6800,0.02250000
6900,0.02125000
7000,0.01716667
7100,0.02275000
7200,0.01858333
7300,0.01975000
7400,0.01958333
7500,0.02050000
7600,0.02450000
7700,0.01941667
7800,0.01983333
7900,0.02158333
8000,0.02191667
8100,0.01758333
8200,0.01766667
8300,0.01966667
8400,0.01458333
8500,0.01958333
8600,0.01616667
8700,0.01733333
8800,0.01708333
8900,0.02366667
9000,0.01741667
9100,0.01825000
9200,0.01908333
9300,0.01633333
9400,0.01625000
9500,0.02516667
9600,0.02183333
9700,0.02058333
9800,0.01675000
9900,0.02125000
