T,E,M,M2,M4,Cv,chi
5.0000,-5.780021,0.981250,0.962863,0.927150,0.244671,0.009217
5.2250,-5.725056,0.976466,0.953499,0.909211,0.247013,0.009994
5.4500,-5.659802,0.970729,0.942333,0.888059,0.306537,0.013160
5.6750,-5.586546,0.964184,0.929673,0.864372,0.330976,0.015272
5.9000,-5.509018,0.957200,0.916260,0.839639,0.402804,0.019639
6.1250,-5.409542,0.948079,0.898888,0.808125,0.434270,0.022781
6.3500,-5.315101,0.939262,0.882258,0.778534,0.491486,0.027760
6.5750,-5.193763,0.927753,0.860781,0.741137,0.556470,0.034186
6.8000,-5.066365,0.915411,0.838048,0.702559,0.620329,0.041292
7.0250,-4.931470,0.902094,0.813855,0.662622,0.644438,0.045939
7.2500,-4.778197,0.886416,0.785836,0.617857,0.710525,0.056143
7.4750,-4.608321,0.868609,0.754602,0.569784,0.734934,0.063978
7.7000,-4.425734,0.848533,0.720161,0.519071,0.806316,0.079296
7.9250,-4.230280,0.826654,0.683548,0.467756,0.871728,0.096134
8.1500,-4.024807,0.802238,0.643823,0.415120,0.936673,0.116785
8.3750,-3.784856,0.771930,0.596233,0.356339,1.169242,0.170322
8.6000,-3.505591,0.734301,0.539664,0.292243,1.220397,0.216916
8.8250,-3.237580,0.695200,0.483987,0.235551,1.317466,0.310161
9.0500,-2.942171,0.647429,0.420076,0.177979,1.414570,0.402890
9.2750,-2.595797,0.584924,0.343616,0.120019,1.565098,0.638318
9.5000,-2.186461,0.485248,0.239620,0.060984,2.020990,1.749215
9.7250,-1.688994,0.307766,0.108167,0.015664,1.746726,5.530952
9.9500,-1.383895,0.152095,0.032591,0.002186,0.728016,3.802202
10.1750,-1.239530,0.091319,0.013388,0.000535,0.431281,1.984706
10.4000,-1.153849,0.066626,0.007065,0.000149,0.308806,1.010194
10.6250,-1.096898,0.057892,0.005455,0.000089,0.270454,0.792053
10.8500,-1.045485,0.058299,0.005177,0.000069,0.229693,0.655665
11.0750,-0.983252,0.042478,0.002899,0.000026,0.199170,0.395387
11.3000,-0.941593,0.043964,0.002939,0.000024,0.176044,0.356319
11.5250,-0.911387,0.042856,0.002787,0.000021,0.160801,0.329909
11.7500,-0.876133,0.037440,0.002192,0.000015,0.147567,0.269158
11.9750,-0.843221,0.035968,0.002055,0.000013,0.136025,0.254341
12.2000,-0.816390,0.034018,0.001783,0.000009,0.127626,0.205239
12.4250,-0.783652,0.032286,0.001645,0.000008,0.112207,0.194083
12.6500,-0.760410,0.032174,0.001623,0.000008,0.110792,0.185810
12.8750,-0.736322,0.030406,0.001440,0.000006,0.097988,0.160245
13.1000,-0.718638,0.029568,0.001359,0.000005,0.098101,0.148102
13.3250,-0.694627,0.027703,0.001209,0.000004,0.088913,0.132467
13.5500,-0.674707,0.028056,0.001237,0.000005,0.080700,0.132741
13.7750,-0.657908,0.027565,0.001162,0.000004,0.074191,0.116868
14.0000,-0.639112,0.026315,0.001081,0.000003,0.069837,0.110994
