p_removed,size_a,size_b,tc_crossing,binder_crossing,method
0.0,24,28,4.538727961243836,0.3017539896147783,linear_interp_peak_guided
0.0,28,32,4.481082216489124,0.6109070302845476,linear_interp_peak_guided
0.1,24,28,4.006048910241139,0.5720080796967453,linear_interp_peak_guided
0.1,28,32,4.0812736112559636,0.18590680914202118,linear_interp_peak_guided
0.2,24,28,3.5569173352437873,0.41744657507129146,linear_interp_peak_guided
0.2,28,32,3.5332235699258145,0.54353550367512,linear_interp_peak_guided
0.3,24,28,3.0749419619308838,0.345387155305109,linear_interp_peak_guided
0.3,28,32,3.0923764178521833,0.27526885002703444,linear_interp_peak_guided
0.4,24,28,2.534591916149332,0.6073034942300092,linear_interp_peak_guided
0.4,28,32,2.5735113860012113,0.41270881753478916,linear_interp_peak_guided
0.5,24,28,1.8024985601490726,0.6658071159646575,linear_interp_peak_guided
0.5,28,32,1.7473752377611564,0.666316725031369,linear_interp_peak_guided
